V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q4,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,LocationLatitude,LocationLongitude,LocationAccuracy
R_DdH7Q5dAO2xJqJb,Default Response Set,Anonymous,,,removed,0,7/28/15 16:19,7/28/15 16:19,1,1,Male,,,,,Other,Large Scale Systems,removed,removed,removed
R_3CQUTd3NgCy7lm5,Default Response Set,Anonymous,,,removed,0,7/28/15 16:19,7/28/15 16:19,1,1,Female,,,Hispanic,,,Education and Outreach,removed,removed,removed
R_2Cvu9AP43D9xYUx,Default Response Set,Anonymous,,,removed,0,7/28/15 16:19,7/28/15 16:19,1,1,Male,,,,White,,Web and Mobile Applications,removed,removed,removed
R_2ylapvcXuarEthd,Default Response Set,Anonymous,,,removed,0,7/28/15 16:20,7/28/15 16:20,1,1,Female,,Black,,,,"Communications, Media and Design",removed,removed,removed
R_stHR6pRPdACbK13,Default Response Set,Anonymous,,,removed,0,7/28/15 16:22,7/28/15 16:23,1,1,Male,Asian,,,,,Data Management and Collections,removed,removed,removed
R_3k0MrZ5SjiZ3rZa,Default Response Set,Anonymous,,,removed,0,7/28/15 16:22,7/28/15 16:23,1,1,Male,,,Hispanic,,,"Communications, Media and Design",removed,removed,removed
R_11chFTNW20S2614,Default Response Set,Anonymous,,,removed,0,7/28/15 16:21,7/28/15 16:23,1,1,Male,,,Hispanic,,,Visualization Interfaces and Applications,removed,removed,removed
R_31HKiGSXpr8OxlU,Default Response Set,Anonymous,,,removed,0,7/28/15 16:22,7/28/15 16:23,1,1,Male,,,Hispanic,,,Web and Mobile Applications,removed,removed,removed
R_2zOdoE7XW2eXp3i,Default Response Set,Anonymous,,,removed,0,7/28/15 16:23,7/28/15 16:23,1,1,Male,,,,White,,Scalable Visualization Technologies,removed,removed,removed
R_xDUvxmL7IN3613z,Default Response Set,Anonymous,,,removed,0,7/28/15 16:24,7/28/15 16:24,1,1,Male,Asian,,,,,HPC Applications,removed,removed,removed
R_3dY42d0ud9ZsMbY,Default Response Set,Anonymous,,,removed,0,7/28/15 16:25,7/28/15 16:25,1,1,Male,,,Hispanic,,,Technology Infrastructure,removed,removed,removed
R_2TIh61JbpkDvOT5,Default Response Set,Anonymous,,,removed,0,7/28/15 16:26,7/28/15 16:26,1,1,Female,,,,White,,"Communications, Media and Design",removed,removed,removed
R_2PjW6U2f8WIMVtY,Default Response Set,Anonymous,,,removed,0,7/28/15 16:27,7/28/15 16:27,1,1,Male,,,,White,,TACC Leadership Team (LT),removed,removed,removed
R_2rklizxXWpvEoQ5,Default Response Set,Anonymous,,,removed,0,7/28/15 16:28,7/28/15 16:28,1,1,Male,,,,White,,HPC Software Tools,removed,removed,removed
R_1kH85YfghYLKp75,Default Response Set,Anonymous,,,removed,0,7/28/15 16:30,7/28/15 16:31,1,1,Male,,,,White,,Technology Infrastructure,removed,removed,removed
R_1Cds5Ho4X2zkPXR,Default Response Set,Anonymous,,,removed,0,7/28/15 16:31,7/28/15 16:31,1,1,Male,,,,White,,Life Sciences Computing,removed,removed,removed
R_WoJDjH7w51oROqR,Default Response Set,Anonymous,,,removed,0,7/28/15 16:32,7/28/15 16:32,1,1,Female,,,Hispanic,,,Administrative Support,removed,removed,removed
R_3JD9aEKQ76aoGQq,Default Response Set,Anonymous,,,removed,0,7/28/15 16:33,7/28/15 16:34,1,1,Male,,,,White,,TACC Leadership Team (LT),removed,removed,removed
R_2vZcRZoZWVQb0M4,Default Response Set,Anonymous,,,removed,0,7/28/15 16:35,7/28/15 16:35,1,1,Male,,,,White,,Life Sciences Computing,removed,removed,removed
R_OAUMCRLEsGBTFpT,Default Response Set,Anonymous,,,removed,0,7/28/15 16:35,7/28/15 16:36,1,1,Female,,,,White,,TACC Leadership Team (LT),removed,removed,removed
R_2zbAPKifIjvolPY,Default Response Set,Anonymous,,,removed,0,7/28/15 16:40,7/28/15 16:40,1,1,Male,,,,White,,Technology Infrastructure,removed,removed,removed
R_w1VlhM2nxk8UErn,Default Response Set,Anonymous,,,removed,0,7/28/15 16:43,7/28/15 16:43,1,1,Female,,,Hispanic,White,,HPC Software Tools,removed,removed,removed
R_4Vf9Nm4KmYIPYhb,Default Response Set,Anonymous,,,removed,0,7/28/15 16:42,7/28/15 16:43,1,1,Male,,,,White,,HPC Applications,removed,removed,removed
R_26vFHNEYCa6jyI9,Default Response Set,Anonymous,,,removed,0,7/28/15 16:45,7/28/15 16:46,1,1,Female,,,,White,,Administrative Support,removed,removed,removed
R_2ru2uqYPzqYpvhA,Default Response Set,Anonymous,,,removed,0,7/28/15 16:47,7/28/15 16:48,1,1,Female,,,,White,,Administrative Support,removed,removed,removed
R_3nwnGNb7ZOG1mQ9,Default Response Set,Anonymous,,,removed,0,7/28/15 16:54,7/28/15 16:55,1,1,Male,,,,White,,Technology Infrastructure,removed,removed,removed
R_2SGey161A7Qizkr,Default Response Set,Anonymous,,,removed,0,7/28/15 16:54,7/28/15 16:55,1,1,Female,,,,White,Other,Portal and Gateway Infrastructure,removed,removed,removed
R_2ZBVnftfScLLDlS,Default Response Set,Anonymous,,,removed,0,7/28/15 17:01,7/28/15 17:01,1,1,Male,Asian,,,,,HPC Applications,removed,removed,removed
R_1liezNroqml63rv,Default Response Set,Anonymous,,,removed,0,7/28/15 17:10,7/28/15 17:11,1,1,Male,Asian,,,,,HPC Applications,removed,removed,removed
R_suue84mb5PTlyr7,Default Response Set,Anonymous,,,removed,0,7/28/15 17:14,7/28/15 17:14,1,1,Male,,,,White,,HPC Software Tools,removed,removed,removed
R_1myIuvLJMcv3LMM,Default Response Set,Anonymous,,,removed,0,7/28/15 17:21,7/28/15 17:21,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_W8pj25UJLwdnN8R,Default Response Set,Anonymous,,,removed,0,7/28/15 17:29,7/28/15 17:30,1,1,Female,,,,White,,Administrative Support,removed,removed,removed
R_2ZWGfE0OhZVPr5G,Default Response Set,Anonymous,,,removed,0,7/28/15 17:39,7/28/15 17:41,1,1,Male,,,,White,,HPC Software Tools,removed,removed,removed
R_3EKL0AGS1xdx7Pm,Default Response Set,Anonymous,,,removed,0,7/28/15 18:05,7/28/15 18:05,1,1,Female,Asian,,,,,HPC Applications,removed,removed,removed
R_2ZX2o81RzBW3PmA,Default Response Set,Anonymous,,,removed,0,7/28/15 18:23,7/28/15 18:24,1,1,Female,,,,White,,Administrative Support,removed,removed,removed
R_1FbuVCOyusVF7Iu,Default Response Set,Anonymous,,,removed,0,7/28/15 18:59,7/28/15 18:59,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_3Pi3gFtlBdknRbk,Default Response Set,Anonymous,,,removed,0,7/28/15 20:48,7/28/15 20:49,1,1,Female,,,Hispanic,,,Data Management and Collections,removed,removed,removed
R_1jeOMQchX84HsoJ,Default Response Set,Anonymous,,,removed,0,7/28/15 22:38,7/28/15 22:38,1,1,Male,,,Hispanic,,,HPC Software Tools,removed,removed,removed
R_1fkOL1ImpSFrKL1,Default Response Set,Anonymous,,,removed,0,7/28/15 22:53,7/28/15 22:54,1,1,Female,,,,White,,Data Management and Collections,removed,removed,removed
R_RrgspAvRJF7PhiF,Default Response Set,Anonymous,,,removed,0,7/29/15 6:36,7/29/15 6:36,1,1,Male,,,,White,Other,Data Management and Collections,removed,removed,removed
R_vl4O2DUan3JD2dr,Default Response Set,Anonymous,,,removed,0,7/29/15 7:28,7/29/15 7:28,1,1,Male,,,,White,,Strategic Initiatives,removed,removed,removed
R_24GFXY9HUJdoIvo,Default Response Set,Anonymous,,,removed,0,7/29/15 8:45,7/29/15 8:46,1,1,Male,,,,White,,Facilities,removed,removed,removed
R_cMzgLVFC7dPm5ax,Default Response Set,Anonymous,,,removed,0,7/29/15 9:07,7/29/15 9:07,1,1,Female,Asian,Black,Hispanic,,Other,HPC Applications,removed,removed,removed
R_3VnVZNLojZHYHUl,Default Response Set,Anonymous,,,removed,0,7/29/15 11:15,7/29/15 11:16,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_ptvCQT3IwRXly5r,Default Response Set,Anonymous,,,removed,0,7/29/15 13:59,7/29/15 14:00,1,1,Female,,,Hispanic,,,Education and Outreach,removed,removed,removed
R_XMIM9mpEJytGD8R,Default Response Set,Anonymous,,,removed,0,7/30/15 10:52,7/30/15 10:54,1,1,Male,,,,White,,User Services,removed,removed,removed
R_3ND5GL9Zg6WNjp8,Default Response Set,Anonymous,,,removed,0,7/31/15 9:04,7/31/15 9:04,1,1,Male,,,,White,,Center Programs,removed,removed,removed
R_2WV8xk9DbMmgkck,Default Response Set,Anonymous,,,removed,0,8/2/15 17:42,8/2/15 17:42,1,1,Female,,,,White,,User Services,removed,removed,removed
R_2QX1Yv1CLsW0HSe,Default Response Set,Anonymous,,,removed,0,8/4/15 20:37,8/4/15 20:37,1,1,Male,,,Hispanic,,,Portal and Gateway Infrastructure,removed,removed,removed
R_3g5EPz72SEHoXKS,Default Response Set,Anonymous,,,removed,0,8/4/15 20:38,8/4/15 20:39,1,1,Female,,,,White,,Portal and Gateway Infrastructure,removed,removed,removed
R_1K0CHhWtoHLRFXC,Default Response Set,Anonymous,,,removed,0,8/4/15 21:11,8/4/15 21:11,1,1,Male,,,,White,,Technology Infrastructure,removed,removed,removed
R_1rl6YoPoJgEhLos,Default Response Set,Anonymous,,,removed,0,8/4/15 21:12,8/4/15 21:12,1,1,Male,,,,White,,Visualization Interfaces and Applications,removed,removed,removed
R_1dN4HOUCdF9kzrc,Default Response Set,Anonymous,,,removed,0,8/4/15 21:34,8/4/15 21:34,1,1,Male,Asian,,,,,Web and Mobile Applications,removed,removed,removed
R_1DuvnvuU4WisIvp,Default Response Set,Anonymous,,,removed,0,8/4/15 21:41,8/4/15 21:42,1,1,Male,,,Hispanic,,,Visualization Interfaces and Applications,removed,removed,removed
R_UXYpVBYbDydvUHv,Default Response Set,Anonymous,,,removed,0,8/4/15 21:41,8/4/15 21:42,1,1,Female,,Black,,,,Center Programs,removed,removed,removed
R_10AHw1YJcl9HkJC,Default Response Set,Anonymous,,,removed,0,8/4/15 21:56,8/4/15 21:57,1,1,Male,,,,White,,Scalable Visualization Technologies,removed,removed,removed
R_vvldnCRgY67bNFT,Default Response Set,Anonymous,,,removed,0,8/4/15 23:19,8/4/15 23:20,1,1,Male,,,,White,,Life Sciences Computing,removed,removed,removed
R_2Y38D7V6FhejSiy,Default Response Set,Anonymous,,,removed,0,8/4/15 23:33,8/4/15 23:34,1,1,Male,,,,White,,Data Management and Collections,removed,removed,removed
R_1jf7UjHzLeQ9jeP,Default Response Set,Anonymous,,,removed,0,8/5/15 0:09,8/5/15 0:09,1,1,Male,Asian,,,,,Data Management and Collections,removed,removed,removed
R_1JDPws1LZQxmVyE,Default Response Set,Anonymous,,,removed,0,8/5/15 7:21,8/5/15 7:22,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_2zZ2eTJjnWHYtSJ,Default Response Set,Anonymous,,,removed,0,8/5/15 7:42,8/5/15 7:42,1,1,Male,,,,White,,"Communications, Media and Design",removed,removed,removed
R_1FsNDxGhd7YKMy6,Default Response Set,Anonymous,,,removed,0,8/5/15 7:47,8/5/15 7:48,1,1,Female,,,,White,,"Communications, Media and Design",removed,removed,removed
R_3QQ6ZPRh6RWnBln,Default Response Set,Anonymous,,,removed,0,8/5/15 8:09,8/5/15 8:09,1,1,Male,,,,White,,HPC Applications,removed,removed,removed
R_0GK7PCINVhVBQPf,Default Response Set,Anonymous,,,removed,0,8/5/15 8:33,8/5/15 8:34,1,1,Male,,,,White,,Data Mining and Statistics,removed,removed,removed
R_VQ4eKARtla3RjAR,Default Response Set,Anonymous,,,removed,0,8/5/15 8:37,8/5/15 8:38,1,1,Male,,,,White,,Scalable Visualization Technologies,removed,removed,removed
R_1rP3rtQWmIU678F,Default Response Set,Anonymous,,,removed,0,8/5/15 8:40,8/5/15 8:41,1,1,Male,,,Hispanic,,,Scalable Visualization Technologies,removed,removed,removed
R_3nde4iJKTi0solk,Default Response Set,Anonymous,,,removed,0,8/5/15 8:41,8/5/15 8:41,1,1,Female,Asian,,,,,Center Programs,removed,removed,removed
R_RwtKk2zc1tWe0uJ,Default Response Set,Anonymous,,,removed,0,8/5/15 8:45,8/5/15 8:45,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_30x8prfA5rdInCN,Default Response Set,Anonymous,,,removed,0,8/5/15 8:51,8/5/15 8:51,1,1,Female,,,,White,,HPC Applications,removed,removed,removed
R_09hDqwW7tMt0wOl,Default Response Set,Anonymous,,,removed,0,8/5/15 9:08,8/5/15 9:09,1,1,Male,Asian,,,,,Visualization Interfaces and Applications,removed,removed,removed
R_2Ug6IbQnvcudDZJ,Default Response Set,Anonymous,,,removed,0,8/5/15 9:16,8/5/15 9:17,1,1,Male,,,,White,,Scalable Visualization Technologies,removed,removed,removed
R_D2mTFpDW6eAHpC1,Default Response Set,Anonymous,,,removed,0,8/5/15 9:37,8/5/15 9:37,1,1,Female,,,,White,,Visualization Interfaces and Applications,removed,removed,removed
R_2VHDOMMb0TzV1h0,Default Response Set,Anonymous,,,removed,0,8/5/15 9:40,8/5/15 9:41,1,1,Male,Asian,,,,,Center Programs,removed,removed,removed
R_YQuNNsdQbifDbR7,Default Response Set,Anonymous,,,removed,0,8/5/15 9:52,8/5/15 9:52,1,1,Female,Asian,,,White,,Scalable Visualization Technologies,removed,removed,removed
R_Uz3Zd4RdGl7y5uF,Default Response Set,Anonymous,,,removed,0,8/5/15 9:54,8/5/15 9:55,1,1,Male,,,,White,,Director's Office,removed,removed,removed
R_uzcKC8w4G5Srizn,Default Response Set,Anonymous,,,removed,0,8/5/15 10:06,8/5/15 10:06,1,1,Male,,,Hispanic,,,Portal and Gateway Infrastructure,removed,removed,removed
R_0vPBhkMul2k9jcl,Default Response Set,Anonymous,,,removed,0,8/5/15 10:18,8/5/15 10:18,1,1,Male,,,Hispanic,,,Web and Mobile Applications,removed,removed,removed
R_2R8rROe2YLpPnJq,Default Response Set,Anonymous,,,removed,0,8/5/15 12:54,8/5/15 12:55,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_paYLYWUZjGG3avf,Default Response Set,Anonymous,,,removed,0,8/5/15 14:41,8/5/15 14:41,1,1,Male,,,,White,,Life Sciences Computing,removed,removed,removed
R_3QLSOczSNIhtHDw,Default Response Set,Anonymous,,,removed,0,8/6/15 10:40,8/6/15 10:41,1,1,Female,,,,White,,Large Scale Systems,removed,removed,removed
R_3n8llf6Z71fVaiM,Default Response Set,Anonymous,,,removed,0,8/6/15 13:08,8/6/15 13:08,1,1,Male,Asian,,,,,HPC Software Tools,removed,removed,removed
R_2Y5tt0o4rGlNVjd,Default Response Set,Anonymous,,,removed,0,8/7/15 8:16,8/7/15 8:17,1,1,Male,,,,White,,Large Scale Systems,removed,removed,removed
R_eb36dPjRGE0W0tb,Default Response Set,Anonymous,,,removed,0,8/7/15 9:44,8/7/15 9:44,1,1,Male,,,,White,,Life Sciences Computing,removed,removed,removed
R_1N1RaIZdw899GdZ,Default Response Set,Anonymous,,,removed,0,8/7/15 10:01,8/7/15 10:02,1,1,Male,,,,White,,Web and Cloud Services,removed,removed,removed
R_2YVVAFPLYirUj5O,Default Response Set,Anonymous,,,removed,0,8/7/15 10:01,8/7/15 10:02,1,1,Male,,,Hispanic,,,Web and Mobile Applications,removed,removed,removed
R_Y5rO4tHv9KIkqjv,Default Response Set,Anonymous,,,removed,0,8/7/15 10:21,8/7/15 10:22,1,1,Male,,Black,,White,Other,Web and Cloud Services,removed,removed,removed
R_1P7Q0RK3mGpWbYI,Default Response Set,Anonymous,,,removed,0,8/7/15 11:25,8/7/15 11:26,1,1,Male,Asian,,,,,Data Mining and Statistics,removed,removed,removed
R_2qF1oqdEpbKfGpf,Default Response Set,Anonymous,,,removed,0,8/7/15 12:35,8/7/15 12:35,1,1,Male,Asian,,,,,Center Programs,removed,removed,removed
R_2QhZeliMdJOt5h3,Default Response Set,Anonymous,,,removed,0,8/7/15 15:14,8/7/15 15:15,1,1,Male,,,,White,,Web and Cloud Services,removed,removed,removed
R_3RjF6E8aVezIeBY,Default Response Set,Anonymous,,,removed,0,8/7/15 19:43,8/7/15 19:44,1,1,Male,,,Hispanic,White,,Visualization Interfaces and Applications,removed,removed,removed
R_1rqMNwQNJzYzNiD,Default Response Set,Anonymous,,,removed,0,8/12/15 15:19,8/12/15 15:19,1,1,Male,,,,White,,Technology Infrastructure,removed,removed,removed
R_1o7IUnFg2NAiWms,Default Response Set,Anonymous,,,removed,0,8/12/15 15:19,8/12/15 15:19,1,1,Male,,,,White,,Visualization Interfaces and Applications,removed,removed,removed
R_R9VRUSTqxujhcRj,Default Response Set,Anonymous,,,removed,0,8/12/15 15:20,8/12/15 15:20,1,1,Female,,,,White,,Portal and Gateway Infrastructure,removed,removed,removed
R_u92yrDOj1FYpEcx,Default Response Set,Anonymous,,,removed,0,8/12/15 15:20,8/12/15 15:21,1,1,Male,Asian,,,,,Large Scale Systems,removed,removed,removed
R_3F5b1X7yeW8BjDi,Default Response Set,Anonymous,,,removed,0,8/12/15 15:23,8/12/15 15:23,1,1,Male,,,,White,,HPC Performance & Architectures,removed,removed,removed
R_2Sxy0spRSr92xMI,Default Response Set,Anonymous,,,removed,0,8/12/15 15:25,8/12/15 15:25,1,1,Male,,,,,Other,Web and Cloud Services,removed,removed,removed
R_DCxANB0FiidrUUp,Default Response Set,Anonymous,,,removed,0,8/12/15 15:30,8/12/15 15:31,1,1,Male,,,,White,,Data Management and Collections,removed,removed,removed
R_QlXEQLQMJyJwmWd,Default Response Set,Anonymous,,,removed,0,8/12/15 15:34,8/12/15 15:34,1,1,Male,,,,White,,"Communications, Media and Design",removed,removed,removed
R_1JW2CvY2HnvcxCe,Default Response Set,Anonymous,,,removed,0,8/12/15 15:51,8/12/15 15:52,1,1,Male,,,,White,,Large Scale Systems,removed,removed,removed
R_bf3dR0PbUCpcel3,Default Response Set,Anonymous,,,removed,0,8/12/15 16:09,8/12/15 16:09,1,1,Male,,,,,Other,HPC Performance & Architectures,removed,removed,removed
R_UnX8eAqSG9v7SCt,Default Response Set,Anonymous,,,removed,0,8/12/15 16:26,8/12/15 16:26,1,1,Female,,,Hispanic,,,Data Mining and Statistics,removed,removed,removed
R_2PhdbhSoEkysI34,Default Response Set,Anonymous,,,removed,0,8/13/15 8:48,8/13/15 8:48,1,1,Male,,,,White,,User Services,removed,removed,removed
R_1dAz2GdaKMicZhu,Default Response Set,Anonymous,,,removed,0,8/13/15 9:17,8/13/15 9:17,1,1,Male,,,,White,,Large Scale Systems,removed,removed,removed
R_3qBwKkGPnjevz4b,Default Response Set,Anonymous,,,removed,0,8/17/15 10:00,8/17/15 10:01,1,1,Male,Asian,,,,,Visualization Interfaces and Applications,removed,removed,removed
